guide_name,page_no,element_type,element_details,path_data_location
Model -> Direct -> Translational,7,prompt,Does this evidence include the following measures to address risk of bias?,NA
Model -> Direct -> Translational,7,check,Randomized experimental design is mentioned,m0m1:randomization
Model -> Direct -> Translational,7,check,Masked experimental design is mentioned,d2d3:masking
Model -> Direct -> Translational,7,check,Study in question was pre-registered,d2d3:preregistration
,,,,
Model -> Direct -> Translational,8,prompt,Translational evidence about the molecular target of the proposed intervention,NA
Model -> Direct -> Translational,8,text,What evidence suggests that the drug target engagement / functional effects in models is recapitulated in the target patients such that evidence of the molecular effect of the drug is relevant to the target population?,t1
Model -> Direct -> Translational,8,check,Evidence suggesting drug target/functional assay used in models is also present in target patients,t1:target-evidence
Model -> Direct -> Translational,8,check,Construct validity (Explanation of relationships between various features of a model systems and those for the target scenario),t1:construct-validity
Model -> Direct -> Translational,8,check,External validity (Replication of effects in different model systems),t1:external-validity
Model -> Direct -> Translational,8,check,"Interfering effects (Evidence suggesting the absence of ""interfering effects"" in the target scenario)",t1:interfering-effects
Model -> Direct -> Translational,8,check,Systematic review evidence regarding the model's predictive value,t1:systematic-review
,,,,
Model -> Direct -> Translational,9,prompt,Translational evidence about the physiological effects of the drug,NA
Model -> Direct -> Translational,9,text,What evidence suggests that the drug target engagement / functional effects in models is recapitulated in the target patients such that evidence of the molecular effect of the drug is relevant to the target population?,t2
Model -> Direct -> Translational,9,check,Evidence suggesting drug target/functional assay used in models is also present in target patients,t2:target-evidence
Model -> Direct -> Translational,9,check,Construct validity (Explanation of relationships between various features of a model systems and those for the target scenario),t2:construct-validity
Model -> Direct -> Translational,9,check,External validity (Replication of effects in different model systems),t2:external-validity
Model -> Direct -> Translational,9,check,"Interfering effects (Evidence suggesting the absence of ""interfering effects"" in the target scenario)",t2:interfering-effects
Model -> Direct -> Translational,9,check,Systematic review evidence regarding the model's predictive value,t2:systematic-review
,,,,
Model -> Direct -> Translational,9,prompt,Translational evidence about the clinical effects of the drug,NA
Model -> Direct -> Translational,9,text,What evidence suggests that the drug target engagement / functional effects in models is recapitulated in the target patients such that evidence of the molecular effect of the drug is relevant to the target population?,t3
Model -> Direct -> Translational,9,check,Evidence suggesting drug target/functional assay used in models is also present in target patients,t3:target-evidence
Model -> Direct -> Translational,9,check,Construct validity (Explanation of relationships between various features of a model systems and those for the target scenario),t3:construct-validity
Model -> Direct -> Translational,9,check,External validity (Replication of effects in different model systems),t3:external-validity
Model -> Direct -> Translational,9,check,"Interfering effects (Evidence suggesting the absence of ""interfering effects"" in the target scenario)",t3:interfering-effects
Model -> Direct -> Translational,9,check,Systematic review evidence regarding the model's predictive value,t3:systematic-review
,,,,
Model -> Direct -> Translational,10,prompt,"The evidence you provided has been added to the PATH figure; please rate the strength of evidence for each step by clicking on the arrow in the figure

(The evidence has not actually been saved yet, this is one of the things that hasn't been implemented because I'm still working through exactly how we want this web app to work)",NA
